School,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Loyola Marymount University—Los Angeles,71,56,54,51,68,87,75,65,65,65,62,62,72
Loyola University—Chicago,87,78,71,67,76,68,78,72,82,74,77,70,78
Marquette University,87,105,95,96,94,93,105,105,100,95,91,105,105
Michigan State University,105,105,95,82,80,87,94,100,96,88,91,93,91
New York University,5,6,6,6,6,6,6,6,6,6,6,6,6
Northeastern University,94,86,71,76,86,93,87,82,65,74,64,67,67
Northwestern University,10,11,12,12,12,12,12,12,10,11,10,9,12
Ohio State University,35,34,35,39,36,31,34,30,30,32,34,38,40
Pennsylvania State - Dickinson Law,,,,,,,,86,65,59,71,62,60
Pennsylvania State - Penn State Law,65,72,60,76,64,51,71,86,82,74,64,60,60
Pepperdine University,55,52,54,49,61,54,52,65,72,46,51,47,46
Rutgers University (merged),82,80,84,91,89,82,96,92,62,74,77,76,91
Saint Louis University,94,105,105,105,105,93,87,82,88,88,90,90,91
Santa Clara University,85,93,84,96,96,105,94,105,105,105,105,105,105
Seattle University,77,86,84,82,105,87,105,105,105,105,105,105,105
Seton Hall University,77,72,61,69,64,68,63,65,57,59,59,62,70
Southern Methodist University,49,48,50,51,48,42,46,45,46,50,52,56,52
St. John's University,87,72,95,79,98,105,82,74,72,83,77,74,72
Stanford University,3,3,3,2,2,3,2,2,2,2,2,2,2
Stetson University,105,105,105,105,105,93,105,105,96,98,105,105,105
Syracuse University,105,86,100,96,96,105,87,86,92,88,91,105,105
Temple University,65,72,61,58,56,61,52,50,53,47,48,56,53
Texas A&M University,,,,,,,,,92,80,83,60,53
Tulane University,45,48,47,51,48,46,50,50,51,54,52,54,60
University of Alabama,30,38,35,29,21,23,22,28,26,27,25,31,25
University of Arizona,43,42,42,43,38,40,42,40,48,41,39,47,46
"University of Arkansas, Fayetteville",94,86,84,89,68,61,75,86,77,88,91,90,96
University of Buffalo—SUNY,85,105,84,82,86,100,87,100,105,105,105,99,98
University of California (Hastings),39,42,42,44,48,54,59,50,54,58,62,59,50
University of California—Berkeley,6,7,9,7,9,9,8,8,12,9,10,9,9
University of California—Davis,35,28,23,29,38,36,31,30,39,37,31,38,35
University of California—Irvine,,,,,,,30,28,28,21,23,27,35
University of California—Los Angeles,15,15,16,15,17,16,16,17,15,16,15,15,14
University of Chicago,6,5,5,5,4,4,4,4,4,4,4,4,4
University of Cincinnati,52,56,61,69,80,79,82,60,72,65,83,83,81
University of Colorado—Boulder,45,38,47,44,44,43,40,40,36,46,45,46,48
University of Connecticut,52,54,56,62,58,54,63,65,54,50,52,50,58
University of Denver,77,80,77,69,64,68,67,72,76,63,67,74,78
University of Florida (Levin),51,47,47,48,46,49,47,48,41,41,31,24,21
University of Georgia,35,28,35,34,33,29,31,33,30,32,27,31,27
University of Hawaii,105,72,95,105,80,100,82,92,100,105,91,96,98
University of Houston,59,60,56,57,48,58,59,50,54,56,59,56,60
University of Illinois—Urbana Champaign,23,21,23,35,47,40,41,40,44,37,39,31,29
University of Iowa,26,26,27,29,26,27,22,20,20,27,27,27,29
University of Kansas,65,67,79,89,86,68,67,65,65,74,67,70,70
University of Kentucky,55,64,71,62,58,58,63,60,57,65,71,70,81
University of Louisville,98,105,100,89,68,87,94,92,92,105,105,99,98
University of Maine,100,105,105,105,105,105,105,105,105,105,105,105,105
University of Maryland,43,48,42,39,41,46,47,48,48,49,52,47,50
University of Miami,71,60,77,69,76,61,63,60,77,65,67,67,72
University of Michigan,9,9,7,10,9,10,11,8,8,8,9,9,10
University of Minnesota,20,22,20,19,19,20,20,22,23,20,20,21,22
University of Mississippi,,,,,,,94,105,105,105,105,105,98
University of Missouri,65,93,105,79,76,64,59,65,65,65,64,67,60
University of Nebraska,105,93,84,89,61,54,56,57,57,80,77,76,87
University of Nevada—Las Vegas,75,78,71,76,68,83,67,78,62,59,58,62,60
University of New Hampshire,105,105,105,105,105,93,87,82,100,85,87,88,88
University of New Mexico,77,67,79,69,64,72,71,60,77,88,91,99,105
University of North Carolina,30,28,30,38,31,31,34,38,39,45,34,27,24
University of Notre Dame,23,22,23,22,23,26,22,22,20,24,21,22,22
University of Oklahoma,71,72,71,82,68,58,67,60,72,63,71,76,67
University of Oregon,77,80,79,82,94,100,82,78,86,85,83,88,72
University of Pennsylvania,8,7,7,7,7,7,7,7,7,7,7,7,6
University of Pittsburgh,71,67,71,69,91,81,78,78,82,74,77,76,67
University of Richmond,77,86,67,58,53,51,52,55,57,50,52,54,53
University of San Diego,61,56,67,65,68,79,71,74,77,95,86,83,86
University of South Carolina,87,105,105,105,98,93,94,92,88,88,91,96,96
University of Southern California,18,18,18,18,18,20,20,19,19,19,17,18,19
University of Tennessee,59,60,56,69,61,72,52,65,57,65,59,70,60
University of Texas at Austin,15,15,14,16,15,15,15,15,14,15,16,16,16
University of the Pacific,105,98,100,105,105,105,105,105,105,105,,,
University of Tulsa,105,105,105,99,86,72,82,86,82,101,87,105,105
University of Utah,45,42,42,47,41,49,42,45,44,54,47,45,43
University of Virginia,10,10,9,7,7,8,8,8,8,9,8,8,8
University of Washington,30,34,30,20,28,24,28,33,30,32,44,42,45
University of Wisconsin,35,28,35,35,33,31,31,33,30,27,34,38,29
University San Francisco,98,98,100,105,105,105,105,105,105,105,,,
Vanderbilt University,17,17,16,16,15,16,17,16,17,17,18,18,16
Villanova University,61,67,84,105,98,93,87,74,77,65,71,62,53
Wake Forest University,40,38,39,44,36,31,47,40,36,32,31,42,41
Washington and Lee University,30,34,30,24,26,43,42,40,28,26,34,31,35
Washington University in St. Louis,19,19,18,23,19,18,18,18,18,18,18,17,16
Wayne State University,105,105,105,105,105,87,105,97,100,98,91,83,72
West Virginia University,105,93,95,105,91,83,94,97,96,105,100,105,105
William & Mary Law School,28,28,27,35,33,24,29,33,41,37,39,31,35
William Mitchell,105,98,105,105,105,105,105,105,105,105,,,
Yale University,1,1,1,1,1,1,1,1,1,1,1,1,1
Yeshiva University (Cardozo),49,52,50,56,58,64,75,74,65,56,52,53,53
