ID,Year,From School Edit,To School Edit,Current Title,Gender,JD Year,JD School,# of Post-JD Degrees, TextPost , # Degrees ,Type,# of teaching jobs,Year of first teaching job,From Rank,To Rank,Rank diff,From Pop,To Pop,Pop diff
00002C89,2019,West Virginia University ,Roger Williams University,Dean and Professor of Law,M,1994,Northwestern,0, 0 , -   ,,3,2004,111,150,-39,139044,1624578,1485534
00002C90,2019,Drexel University,Texas A&M University,Associate Professor of Law,F,2013,NYU,0, 0 , -   ,,3,2016,93,60,33,6102434,7573136,1470702
00002C97,2019,Florida State University,"Pennsylvania State University, University Park",Professor of Law and Professor and Wilson Faculty Fellow in the College of Earth and Mineral Sciences Institutes of Energy and the Environment Co-funded Faculty,F,2007,Yale,0, 0 , -   ,,6,2008,50,60,-10,386454,162385,-224069
00002C9E,2019,"Indiana University, Indianapolis ",Wayne State University,Associate Professor of Law and Social Work,F,2003,Indiana University,0, 0 , -   ,,4,2005,122,83,39,2076531,4319629,2243098
00002CA5,2019,New York Law School,University of Illinois,Professor of Law,M,2008,University of Michigan,0, 0 , -   ,,4,2014,129,99,30,19216182,1127983,-18088199
00002CAC,2019,"University of California, Hastings",University of Auckland,"John and Marylyn Mayo Chair in Health Law and Professor of Law at the University of Auckland, a Senior Affiliate Scholar to the UCSF/UC Hastings Consortium on Science, Law and Health Policy, and the Executive Editor of The Source for Healthcare Price and Competition",F,2001,Emory,1 - PhD (Harvard 2008), 1 , 1.00 ,,3,2006,99,111,-12,1127983,998655,-129328
00002CB3,2019,University of Pittsburgh,Boston University,Professor of Law,F,2004,Harvard,0, 0 , -   ,,3,2009,62,20,42,2266715,4873019,2606304
00002CBA,2019,Vermont Law School,Western New England University,Professor of Law,F,1993,Harvard,0, 0 , -   ,,3,2004,141,150,-9,216986,697382,480396
00002CC1,2019,University of Rochester ,"Washington University, St. Louis",assuming Professor of Law,M,1974,Harvard,0, 0 , -   ,,7,1977,62,17,45,2266715,2801423,534708
00002CC8,2019,"University of California, Irvine","University of California, Los Angeles",Professor of Law,M,1996,Yale,0, 0 , -   ,,2,2010,99,99,0,1127983,1127983,0
00002CCF,2019,Cornell University,Georgetown University,Professor of Law,M,2007,Yale,0, 0 , -   ,,6,2007,13,14,-1,102180,6280697,6178517
00002CD6,2019,"University of California, Berkeley",University of Pennsylvania,Seaman Family University Professor,F,2007,University of Pennsylvania,1 - PhD (UPenn 2011), 1 , 1.00 ,,4,2011,99,62,37,1127983,2266715,1138732
00002CDD,2019,"University of Arkansas, Fayetteville",Wayne State University,"Associate Professor of Law and Associate Director of Civil Rights and Social Justice, Damon J. Keith Center for Civil Rights",M,2004,UCLA,"2 - LLM (University of Toronto 2008)
     Med (Harvard 2021)", 2 , 2.00 ,,5,2012,111,83,28,998655,4319629,3320974
00002CE4,2019,Reed College ,"University of California, Los Angeles",Professor of Tax Law and Policy,F,NA,NA,PhD (Harvard 1996), 1.00 , 1.00 ,,4,1992,122,99,23,854757,1127983,273226
00002CEB,2019,University of Virginia,University of Pennsylvania,"Earle Hepburn Professor of Law and Professor of Philosophy; Co-Director, Institute of Law & Philosophy",F,1995,University of Pennsylvania,0, 0 , -   ,,7,2000,8,62,-54,218358,2266715,2048357
00002CF2,2019,Duke University,University of Virginia,Kathrine Robinson Everett Professor of Law,F,1992,Georgetown,0, 0 , -   ,,11,1995,12,8,4,2079687,218358,-1861329
00002CF9,2019,"University of California, Los Angeles",University of Virginia,Martha Lubin Karsh and Bruce A. Karsh Bicentennial Professor of Law,F,2008,Yale,0, 0 , -   ,,2,2016,99,8,91,1127983,218358,-909625
00002D00,2019,University of Detroit Mercy,"University of Nebraska, Lincoln",Assistant Professor of Law,M,2007,University of Chicago,0, 0 , -   ,,3,2009,99,141,-42,1127983,1344910,216927
00002D07,2019,St. John's University,Charleston School of Law,Dean and Professor,M,2000,Georgetown,0, 0 , -   ,,3,2003,74,150,-76,19216182,802122,-18414060
00002D0E,2019,Harvard University ,University of Georgia,Associate Professor,F,NA,NA,PhD (University of Virginia 2011), 1.00 , 1.00 ,,4,2010,3,99,-96,4873019,1127983,-3745036
00002D15,2019,Georgetown University,University of Virginia,"William L. Matheson and Robert M. Morgenthau Distinguished Professor of Law, Douglas D. Drysdale Research Professor of Law",M,1984,Harvard,0, 0 , -   ,,7,1985,14,8,6,6280697,218358,-6062339
00002D1C,2019,University of Maryland,"University of Texas, Austin",Bryant Smith Chair in Law and Co-Director of Capital Punishment Center,M,2004,University of Virginia,0, 0 , -   ,,2,2008,47,62,-15,2800053,2266715,-533338
00002D23,2019,"University of Nebraska, Lincoln",Fordham University,Associate Professor of Law,F,2011,Yale,0, 0 , -   ,,4,2014,141,27,114,1344910,19216182,17871272
00002D2A,2019,Washington & Lee University,"Pennsylvania State University, University Park","Associate Dean for Non-JD Programs, Professor of Law, Professor of International Affairs, Co-Hire of the Institute for Computational and Data Sciences, Faculty of the Institute for Network and Security Research in the College of Engineering",F,2000,Duke,0, 0 , -   ,,3,2014,107,60,47,231969,162385,-69584
00002D31,2019,"University of California, Davis ","University of California, Los Angeles",Distinguished Professor of Law and Communication,M,NA,NA,PhD (Berkeley 1989), 1.00 , 1.00 ,,6,1992,99,99,0,1127983,1127983,0
00002D38,2019,"Southern Illinois University, Carbondale",University of Akron,"Goodyear Tire & Rubber Company Chair in Intellectual Property Law & Director, Intellectual Property and Technology Law Program",M,1993,George Washington University,0, 0 , -   ,,3,2003,18,111,-93,13214799,998655,-12216144
00002D3F,2019,University of Pittsburgh,University of Maryland,Nathan Patz Professor of Law,F,2008,Yale,0, 0 , -   ,,5,2010,62,47,15,2266715,2800053,533338
00002D46,2019,Pennsylvania State University-Dickinson School of Law,Emory University,Associate Professor of Law,M,2009,NYU,0, 0 , -   ,,3,2017,60,24,36,162385,6018744,5856359
00002D4D,2019,Hofstra University,Rutgers University,Assistant Professor of Law,M,2012,Yale,0, 0 , -   ,,3,2016,102,76,26,19216182,6102434,-13113748
00002D54,2019,George Mason University,University of Virginia,Associate Professor of Law,F,NA,NA,PhD (Berkeley 2016), 1.00 , 1.00 ,,2,2017,42,8,34,6280697,218358,-6062339
00002D5B,2019,University of Alabama,Wake Forest University,Assistant Professor of Law,F,2010,American University,1 - LLM (Georgetown 2016), 1 , 1.00 ,,3,2016,111,42,69,998655,676008,-322647
00002D62,2019,University of Alabama,Georgetown University,Professor of Law,M,2001,Northwestern,0, 0 , -   ,,6,2003,111,14,97,998655,6280697,5282042
00002D69,2019,Barry University,California Western School of Law,Associate Professor of Law,F,2003,Georgetown,1 - LLM (Temple 20XX), 1 , 1.00 ,,5,2007,150,150,0,6166488,3338330,-2828158
00002D70,2019,George Washington University,University of Virginia,"Justice Anthony M. Kennedy Distinguished Professor of Law, Nancy L. Buc ’69 Research Professor in Democracy and Equity, Director, Family Law Center",F,1983,Columbia,1 - LLM (Georgetown 1988), 1 , 1.00 ,,2,1993,23,8,15,6280697,218358,-6062339
00002D77,2019,University of Chicago,Harvard University,Professor of Law,M,2006,Yale,0, 0 , -   ,,3,2010,99,3,96,1127983,4873019,3745036
00002D7E,2019,College of William & Mary,St. Mary's University,Dean | Charles E. Cantu Distinguished Professor of Law,F,1992,William and Mary,0, 0 , -   ,,2,1997,102,150,-48,2048449,2550960,502511
00002D85,2019,University of Iowa,Northwestern University,Professor of Law,M,2000,Harvard,1 - PhD (Stanford 2012), 1 , 1.00 ,,3,2012,99,8,91,1127983,9457867,8329884
00002D8C,2019,Boston University,Temple University,Professor of Law,M,2006,Tulane,0, 0 , -   ,,3,2010,20,56,-36,4873019,6102434,1229415
00002D93,2019,University of Denver,University of Florida,"Gerald A. Rosenthal Chair in Labor & Employment Law, Professor of Law",F,1995,Harvard,1 - LLM (Temple 20XX), 1 , 1.00 ,,6,2004,99,99,0,1127983,1127983,0
00002D9A,2019,Louisiana State University,Pennsylvania State University Dickinson School of Law,Assistant Professor of Law,M,2017,Northwestern,0, 0 , -   ,,2,2017,96,60,36,854884,162385,-692499
00002DA1,2019,Boston University,Cardozo Law School/Yeshiva University,Professor of Law,F,2005,Harvard,0, 0 , -   ,,3,2013,20,150,-130,4873019,2122271,-2750748
00002DA8,2019,"University of California, Los Angeles",University of Virginia,Joel B. Piassick Research Professor of Law,M,2008,Yale,0, 0 , -   ,,2,2014,99,8,91,1127983,218358,-909625
00002DAF,2019,Thomas Jefferson School of Law ,Seton Hall University,Associate Professor of Law,M,1992,Yale,0, 0 , -   ,,5,2003,150,62,88,3338330,19216182,15877852
00002DB6,2019,University of Utah,University of Southern California,assuming Professor of Law,F,1996,Lewis and Clark,0, 0 , -   ,,10,1985,62,62,0,2266715,2266715,0
00002DBD,2019,Fordham University,Georgetown University,Professor of Law,F,1995,Harvard,1 - LLM (Georgetown 2003/4), 1 , 1.00 ,,5,NA,27,14,13,19216182,6280697,-12935485
00002DC4,2019,Wake Forest University ,University of Alabama,Associate Professor of Law,M,2008,George Washington University,0, 0 , -   ,,3,2012,42,111,-69,676008,998655,322647
00002DCB,2019,Florida State University,"Pennsylvania State University, University Park",Professor of Law,M,2007,Yale,0, 0 , -   ,,3,2010,50,60,-10,386454,162385,-224069
00002DD2,2019,University of Iowa,Columbia University,Professor of Law,F,2007,Columbia,1 - PhD (Princeton 2016), 1 , 1.00 ,,2,2016,99,4,95,1127983,19216182,18088199
00002DD9,2019,"Indiana University, Indianapolis",Iowa State University,Director of Academic Quality and Undergraduate Education,F,,USC Gould,, -   , -   ,,1,2008,122,150,-28,2076531,318441,-1758090
00002DE0,2019,Northern Kentucky University,University of Baltimore,Associate Professor of Law,M,1999,Northwestern,1 - PhD (University of Chicago 2013), 1 , 1.00 ,,9,2000,150,111,39,2219750,998655,-1221095
00002DE7,2019,University of Hong Kong,Duke University,unsure,M,NA,NA,"M.Phil (Peking University 2009)
LLM (Yale 2010)
JSD (Yale 2015)", 3.00 , 3.00 ,,3,2011,99,12,87,1127983,2079687,951704
00002DEE,2019,"University of Michigan, Ann Arbor",University of Chicago,Professor of Law,F,2002,Yale,0, 0 , -   ,,6,2006,141,99,42,1344910,1127983,-216927
00002DF5,2019,"University of Nevada, Las Vegas",University of Oklahoma,Professor of Law,F,1997,University of Houston,1 - PhD (University of Texas Medical Branch 2006), 1 , 1.00 ,,5,2003,62,62,0,2266715,2266715,0
00002DFC,2019,"University of Missouri, Columbia",University of Sydney,Associate Professor,F,1994,Duke,"2 - D.Phil (University of Oxford 2003)
     D.Phil (University of Cambridge 2002)", 2 , 2.00 ,,7,2000,141,62,79,1344910,2266715,921805
00002E03,2019,Brigham Young University,University of Notre Dame,Associate Professor of Law,F,2011,Brigham Young University,0, 0 , -   ,,2,2018,37,62,-25,649603,2266715,1617112
00002E0A,2019,Ohio State University,"Indiana University, Indianapolis",Professor Stephanie Hoffer is First Jegen Chair in Tax Law at IU McKinney,F,2001,Case Western Reserve,1 - LLM (NYU 2005), 1 , 1.00 ,,4,2006,38,122,-84,2122271,2076531,-45740
00002E11,2019,College of William & Mary,University of Alabama,"Charles E. Tweedy, Jr. Endowed Chairholder in Law",F,2002,Harvard,0, 0 , -   ,,5,2009,102,111,-9,2048449,998655,-1049794
00002E18,2019,University of Maine,Rutgers University,Associate Professor of Law,F,2009,George Washington University,0, 0 , -   ,,3,2012,122,76,46,538500,6102434,5563934
00002E1F,2019,"Indiana University, Bloomington",Duke University,"John Hope Franklin Research Scholar
Professor of Law",M,2006,University of Virginia,1 - PhD (University of Virginia 2012), 1 , 1.00 ,,4,2012,122,12,110,2076531,2079687,3156
00002E26,2019,Texas Tech University,University of Oklahoma,Professor of Law,F,2007,Boston College,0, 0 , -   ,,3,2012,111,62,49,321982,2266715,1944733
00002E2D,2019,University of Pennsylvania ,University of Miami,de la Cruz/Mentschikoff Chair in Law and Economics and Senior Lecturer,M,1976,Columbia,0, 0 , -   ,,10,1980,62,141,-79,2266715,1344910,-921805
00002E42,2018,University of Virginia,"University of Michigan, Ann Arbor",Professor of Law,M,2001,Yale,0, 0 , -   ,,8,2001,8,141,-133,218358,1344910,1126552
00002E49,2018,Northeastern University,"Pennsylvania State University, University Park","Associate Dean for Innovation and Technology
Founding Director, Penn State PILOT Lab
Professor of Law and Engineering Policy
Affiliate Faculty, Bioethics Program, College of the Liberal Arts",F,1999,Northwestern,1 - PhD (Northwestern 2005), 1 , 1.00 ,,7,2003,67,60,7,4873019,162385,-4710634
00002E50,2018,"University of Washington, Seattle",Chicago-Kent College of Law/Illinois Institute of Technology,Dean and Professor of Law,F,1997,Harvard,1 - PhD (Harvard 2000), 1 , 1.00 ,,4,2009,42,4,38,3979845,9457867,5478022
00002E57,2018,Seattle University,St. John's University,Professor of Law,F,2003,NYU,0, 0 , -   ,,3,2008,129,74,55,3979845,19216182,15236337
00002E5E,2018,American University,University of Miami,Dean and M. Minnette Massey Professor of Law,M,1992,Boston College,1 - LLM (Georgetown 1996), 1 , 1.00 ,,4,1997,76,141,-65,6280697,1344910,-4935787
00002E65,2018,Wayne State University,University of Kentucky,Robert E. Harding Jr. Associate Professor of Law,F,1995,University of Michigan,0, 0 , -   ,,2,2016,83,99,-16,4319629,1127983,-3191646
00002E6C,2018,"University of North Carolina, Chapel Hill",Brooklyn Law School,Professor of Law,F,2002,Columbia,0, 0 , -   ,,2,2010,62,83,-21,2266715,19216182,16949467
00002E73,2018,Cumberland Law/Samford University,Drexel University,Professor of Law,F,2002,Tulane,1 - LLM (George Washington University 2008), 1 , 1.00 ,,5,2007,133,93,40,949726,6102434,5152708
00002E7A,2018,DePaul University,University of Houston,Associate Professor of Law; George A. Butler Research Professor,M,2005,Yale,0, 0 , -   ,,2,2011,118,99,19,9457867,1127983,-8329884
00002E81,2018,University of Maryland,Boston University,Austin B. Fletcher Professor of Law,F,1994,Fordham,0, 0 , -   ,,6,1997,47,20,27,2800053,4873019,2072966
00002E88,2018,University of Maine ,Pennsylvania State University Dickinson School of Law,Dean and Donald J. Farage Professor of Law,F,1992,Howard University,1 - LLM (George Washington University 1996), 1 , 1.00 ,,8,1996,122,60,62,538500,162385,-376115
00002E8F,2018,Yale University,"University of California, Berkeley",Professor of Law,M,2002,Yale,1 - PhD (Harvard 2010), 1 , 1.00 ,,3,2011,1,99,-98,854757,1127983,273226
00002E96,2018,"Washington University, St. Louis","University of California, Irvine",Chancellor's Professor,M,1996,Harvard,"3 - M.A. (Stanford 2000)
    BCL (Oxford 2003)
    PhD (Stanford 2004)", 3 , 3.00 ,,13,2000,17,99,-82,2801423,1127983,-1673440
00002E9D,2018,University of Kansas,University of Utah,Jefferson B. & Rita E. Fordham Presidential Dean and Professor of Law,F,2003,University of Michigan,0, 0 , -   ,,7,2006,99,62,37,1127983,2266715,1138732
00002EA4,2018,"Loyola Law School, Los Angeles",University of Pennsylvania,Professor of Law and Co-Director of Institute for Law and Economics,F,2005,Stanford,0, 0 , -   ,,6,2009,96,62,34,854884,2266715,1411831
00002EAB,2018,"Washington University, St. Louis","University of Texas, Austin",Professor of Law,F,2006,NYU,1 - LLM (NYU 2007), 1 , 1.00 ,,3,2012,17,62,-45,2801423,2266715,-534708
00002EB2,2018,Texas A&M University,University of Houston,"Mary Ann & Lawrence E. Faust Professor of Law
Founding Director, Initiative on Global Law and Policy for the Americas",F,1999,University of Houston,0, 0 , -   ,,5,2002,60,99,-39,7573136,1127983,-6445153
00002EB9,2018,Stanford University,University of Notre Dame,Joseph A. Matson Dean and Professor of Law,M,1993,Northwestern,0, 0 , -   ,,2,1997,2,62,-60,1990660,2266715,276055
00002EC0,2018,University of Amsterdam,Columbia University,Alfred W. BresslerProfessor of Law,M,NA,NA,"D. Jur (University of Rome 1997)
LLM (Utrecht University 2000)
PhD (Utrecht University 2002)
BA (University of Amsterdam 2011)
LLM (Columbia 2017)
JSD (Columbia 2018)", 4.00 , 4.00 ,,16,2001,111,4,107,998655,19216182,18217527
00002EC7,2018,Texas A&M University,Western Michigan University Cooley Law School,"President, Dean, and Professor of Law",M,1997,Howard University,"2 - MPH (Harvard 2000)
     LLM (Temple 2002)", 2 , 2.00 ,,7,2005,60,150,-90,7573136,550391,-7022745
00002ECE,2018,Georgetown University,Wake Forest University,Dean and Professor of Law,F,1983,NYU,1 - LLM (Georgetown 1985), 1 , 1.00 ,,5,1989,14,42,-28,6280697,676008,-5604689
00002EDC,2018,West Virginia University,Seton Hall University,Associate Professor of Law,F,2004,Georgetown,0, 0 , -   ,,4,2015,111,62,49,139044,19216182,19077138
00002EE3,2018,University at Buffalo-State University of New York,University of Miami,Professor of Law and Faculty Director for the Environmental Law Program,F,2004,Berkeley,1 - PhD (Berkeley 2005), 1 , 1.00 ,,5,2009,111,141,-30,998655,1344910,346255
00002EEA,2018,Rutgers University,"University of California, Irvine",John & Marilyn Long Professor of US-China Business and Law,M,2007,Yale,1 - PhD (Northwestern 2012), 1 , 1.00 ,,2,2011,76,99,-23,6102434,1127983,-4974451
00002EF1,2018,St. Thomas University ,University of New Mexico,Professor of Law,M,1996,UCLA,"2 - MA (University of Michigan 2000)
     PhD (University of Michigan 2006)", 2 , 2.00 ,,4,1997,150,62,88,2550960,2266715,-284245
00002EF8,2018,University of Memphis,University of Miami,Associate Professor of Law,M,2011,University of Iowa,0, 0 , -   ,,2,2014,141,141,0,1344910,1344910,0
00002EFF,2018,University of Pennsylvania,"University of California, Berkeley",Professor of Law,M,2013,Yale,0, 0 , -   ,,4,1998,62,99,-37,2266715,1127983,-1138732
00002F06,2018,Mitchell|Hamline School of Law,Northeastern University,Professor of Law and Biology,M,1988,Berkeley,1 - PhD (Cornell 1992), 1 , 1.00 ,,7,1992,141,67,74,3640043,4873019,1232976
00002E34,2018,University of West Virginia,Creighton University,Professor of Law and Dean,M,2003,Tulane,0, 0 , -   ,,3,2006,42,133,-91,3979845,949726,-3030119
00002F0D,2018,University of Chicago,Yale University,Profesosr of Law,M,2004,Harvard,0, 0 , -   ,,7,2009,99,1,98,1127983,854757,-273226
00002F14,2018,University of Denver,University of Arizona,Professor of Law and CoDirector of the Environmental Law Program,M,2006,Stanford,0, 0 , -   ,,2,2011,99,111,-12,1127983,998655,-129328
00002F1B,2018,Florida International University,"Loyola University, Chicago",Morris I. Leibman Professor of Law,F,1999,Stanford,1 - LLM (Lewis and Clark 2008), 1 , 1.00 ,,4,2008,90,62,28,6166488,13214799,7048311
00002F22,2018,"Indiana University, Bloomington ",Washington & Lee University,Associate Professor of Law,F,2005,American University,1 - LLM (Georgetown 2013), 1 , 1.00 ,,5,2006,122,107,15,2076531,231969,-1844562
00002F29,2018,"University of California, Berkeley",University of Pennsylvania,Seaman Family University Professor,F,2007,University of Pennsylvania,1 - PhD (UPenn 2011), 1 , 1.00 ,,4,2011,99,62,37,1127983,2266715,1138732
00002F30,2018,St. John's University,Cardozo Law School,Associate Professor of Law,F,2006,Harvard,0, 0 , -   ,,4,2012,74,150,-76,19216182,2122271,-17093911
00002E3B,2018,University of West Virginia,Creighton University,Professor,F,2003,Tulane,0, 0 , -   ,,4,2006,42,133,-91,3979845,949726,-3030119
00002F37,2018,Boston University,"University of California, Berkeley",Professor of Law,F,2002,Columbia,1 - PhD (Columbia 2008), 1 , 1.00 ,,5,2010,20,99,-79,4873019,1127983,-3745036
00002F3E,2018,University of Richmond,University of Virginia,"Elizabeth D. and Richard A. Merrill Professor of Law
    Professor of Education, Curry School of Education
    Professor of Law, Education and Public Policy, Frank Batten School of Leadership and Public Policy",F,1996,Harvard,0, 0 , -   ,,5,2004,62,8,54,2266715,218358,-2048357
00002F45,2018,University of Akron,Syracuse University,Professor of Law,F,1990,Harvard,1 - PhD (Duke 2003), 1 , 1.00 ,,6,1996,111,111,0,998655,648593,-350062
00002F4C,2018,University of Chicago,Harvard University,"Professor of Law, Suzanne Young Murray Professor, Radcliffe Institute for Advanced Study",F,2003,Harvard,1 - PhD (Princeton 2011), 1 , 1.00 ,,3,2010,99,3,96,1127983,4873019,3745036
00002F53,2018,"University of California, Irvine","University of Michigan, Ann Arbor",Assistant Professor of Law,F,2010,University of Michigan,0, 0 , -   ,,5,2014,99,141,-42,1127983,1344910,216927
